Year,Month,Date,State,State_Clean,Station,Station_Clean,Monitored,Available,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Coal Stock,Outage,Daily_Capacity_Factor,Zero_Gen_Flag,Zero_Gen_Check_Count,Capacity_Category,
2022,November-2022 ,11/11/2022,Bihar,Bihar,KAHALGAON TPSUnit 7,KAHALGAON TPS UNIT 7,500,500,8.73,11.18,10.00,0.00,93.17,OK,0,Low Capacity,
2025,March-2025 ,3/8/2025,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 6,VINDHYACHAL STPS UNIT 6,210,210,4.94,5.15,21.00,0.00,102.18,OK,0,Low Capacity,
2019,December-2019 ,12/23/2019,Bihar,Bihar,KAHALGAON TPSUnit 2,KAHALGAON TPS UNIT 2,210,210,4.09,4.44,4.00,0.00,88.10,OK,0,Low Capacity,
2024,March-2024 ,3/19/2024,West Bengal,West Bengal,FARAKKA STPSUnit 6,FARAKKA STPS UNIT 6,500,500,10.03,12.01,32.00,0.00,100.08,OK,0,Low Capacity,
2024,March-2024 ,3/2/2024,Madhya Pradesh,Madhya Pradesh,KHARGONE STPPUnit 1,KHARGONE STPP UNIT 1,660,660,14.26,9.34,48.00,0.00,58.96,OK,0,High Capacity,
2017,December-2017 ,12/24/2017,Himachal Pradesh,Himachal Pradesh,KOLDAM,KOLDAM,800,800,2.45,2.71,0.00,0.00,14.11,OK,0,High Capacity,
2021,December-2021 ,12/23/2021,Odisha,Odisha,TALCHER STPSUnit 1,TALCHER STPS UNIT 1,500,0,0.00,0.00,14.00,500.00,0.00,OK,0,Low Capacity,
2022,November-2022 ,11/15/2022,Maharashtra,Maharashtra,SOLAPUR STPSUnit 2,SOLAPUR STPS UNIT 2,660,660,5.53,11.33,25.00,0.00,71.53,OK,0,High Capacity,
2023,September-2023 ,9/1/2023,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 5,UNCHAHAR TPS UNIT 5,210,210,4.27,4.92,10.00,0.00,97.62,OK,0,Low Capacity,
2019,July-2019 ,7/5/2019,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 1,SIPAT STPS UNIT 1,660,660,14.39,15.80,4.00,0.00,99.75,OK,0,High Capacity,
2022,November-2022 ,11/14/2022,Bihar,Bihar,KAHALGAON TPSUnit 3,KAHALGAON TPS UNIT 3,210,210,3.47,4.44,9.00,0.00,88.10,OK,0,Low Capacity,
2024,March-2024 ,3/29/2024,Odisha,Odisha,TALCHER STPSUnit 5,TALCHER STPS UNIT 5,500,500,11.61,8.66,13.00,0.00,72.17,OK,0,Low Capacity,
2018,March-2018 ,3/24/2018,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 6,RIHAND STPS UNIT 6,500,500,10.87,11.97,0.00,0.00,99.75,OK,0,Low Capacity,
2022,August-2022 ,8/10/2022,Odisha,Odisha,TALCHER STPSUnit 5,TALCHER STPS UNIT 5,500,500,0.00,10.26,13.00,0.00,85.50,OK,0,Low Capacity,
2017,October-2017 ,10/28/2017,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 7,KORBA STPS UNIT 7,500,500,11.06,11.97,0.00,0.00,99.75,OK,0,Low Capacity,
2018,November-2018 ,11/22/2018,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 3,TANDA TPS UNIT 3,110,110,2.03,2.18,0.00,0.00,82.58,OK,0,Low Capacity,
