Year,Month,Date,State,State_Clean,Station,Station_Clean,Monitored,Available,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Coal Stock,Outage,Daily_Capacity_Factor,Zero_Gen_Flag,Zero_Gen_Check_Count,Capacity_Category,
2023,September-2023 ,9/7/2023,Bihar,Bihar,BARAUNI TPSUnit 7,BARAUNI TPS UNIT 7,105,0,0.00,0.00,16.00,105.00,0.00,OK,0,Low Capacity,
2019,January-2019 ,1/19/2019,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 5,UNCHAHAR TPS UNIT 5,210,210,3.81,3.99,0.00,0.00,79.17,OK,0,Low Capacity,
2018,March-2018 ,3/24/2018,Gujarat,Gujarat,GANDHAR CCPP,GANDHAR CCPP,657,657,5.49,7.43,0.00,0.00,47.09,OK,0,High Capacity,
2024,July-2024 ,7/8/2024,Uttar Pradesh,Uttar Pradesh,DADRI CCPP,DADRI CCPP,830,0,3.33,1.47,0.00,829.78,7.38,OK,0,Low Capacity,
2019,August-2019 ,8/27/2019,Karnataka,Karnataka,KUDGI STPPUnit 3,KUDGI STPP UNIT 3,800,0,4.84,0.00,25.00,800.00,0.00,OK,0,Low Capacity,
2022,September-2022 ,9/30/2022,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 1,SIMHADRI UNIT 1,500,500,6.67,8.53,26.00,0.00,71.08,OK,0,Low Capacity,
2024,March-2024 ,3/21/2024,Kerala,Kerala,R. GANDHI CCPP (Liq.),R. GANDHI CCPP (LIQ.),360,0,0.00,0.00,0.00,359.58,0.00,OK,0,Low Capacity,
2022,October-2022 ,10/20/2022,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 4,DADRI (NCTPP) UNIT 4,210,210,1.81,3.20,7.00,0.00,63.49,OK,0,Low Capacity,
2021,Sep-2021,14-Sep-2021,Jharkhand,,NORTH KARANPURA TPP_Unit 1,NORTH KARANPURA TPP UNIT 1,0,0,0,0,0,0,0,,,,
2018,March-2018 ,3/8/2018,Kerala,Kerala,R. GANDHI CCPP (Liq.),R. GANDHI CCPP (LIQ.),360,360,0.00,0.00,0.00,0.00,0.00,Check,1,Low Capacity,
2024,February-2024 ,2/4/2024,Maharashtra,Maharashtra,MAUDA TPSUnit 2,MAUDA TPS UNIT 2,500,500,0.00,11.52,15.00,0.00,96.00,OK,0,Low Capacity,
2023,May-2026 ,5/26/2023,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 1,UNCHAHAR TPS UNIT 1,210,0,4.16,1.49,16.00,210.00,29.56,OK,0,Low Capacity,
2020,September-2020 ,9/6/2020,Odisha,Odisha,DARLIPALI STPSUnit 1,DARLIPALI STPS UNIT 1,800,800,0.00,18.32,0.00,0.00,95.42,OK,0,High Capacity,
2025,May-2025 ,5/4/2025,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 11,VINDHYACHAL STPS UNIT 11,500,0,0.00,0.00,17.00,500.00,0.00,OK,0,Low Capacity,
2019,March-2019 ,3/20/2019,Telangana,Telangana,RAMAGUNDEM STPSUnit 2,RAMAGUNDEM STPS UNIT 2,200,200,4.19,4.48,0.00,0.00,93.33,OK,0,Low Capacity,
2018,May-2018 ,5/18/2018,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 7,KORBA STPS UNIT 7,500,500,9.65,11.75,0.00,0.00,97.92,OK,0,Low Capacity,
2025,July-2025 ,7/14/2025,West Bengal,West Bengal,FARAKKA STPSUnit 1,FARAKKA STPS UNIT 1,200,200,4.19,3.32,19.00,0.00,69.17,OK,0,Low Capacity,
2019,May-2019 ,5/16/2019,Chhattisgarh,Chhattisgarh,LARA TPPUnit 1,LARA TPP UNIT 1,800,0,5.74,0.00,0.00,800.00,0.00,OK,0,Low Capacity,
2025,April-2025 ,4/5/2025,Jharkhand,Jharkhand,NORTH KARANPURA TPPUnit 1,NORTH KARANPURA TPP UNIT 1,660,660,13.53,12.26,49.00,0.00,77.40,OK,0,High Capacity,
2024,June-2024 ,6/13/2024,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 3,KORBA STPS UNIT 3,200,200,4.67,4.26,8.00,0.00,88.75,OK,0,Low Capacity,
2019,January-2019 ,1/28/2019,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 4,SIMHADRI UNIT 4,500,500,8.79,8.52,0.00,0.00,71.00,OK,0,Low Capacity,
2024,January-2024 ,1/15/2024,West Bengal,West Bengal,FARAKKA STPSUnit 5,FARAKKA STPS UNIT 5,500,500,9.03,10.37,18.00,0.00,86.42,OK,0,Low Capacity,
2020,December-2020 ,12/2/2020,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 4,UNCHAHAR TPS UNIT 4,210,210,0.00,2.95,24.00,0.00,58.53,OK,0,Low Capacity,
2018,April-2018 ,4/21/2018,West Bengal,West Bengal,FARAKKA STPSUnit 6,FARAKKA STPS UNIT 6,500,500,8.50,11.17,0.00,0.00,93.08,OK,0,Low Capacity,
2023,April-2023 ,4/2/2023,Telangana,Telangana,RAMAGUNDEM STPSUnit 6,RAMAGUNDEM STPS UNIT 6,500,500,10.93,8.09,13.00,0.00,67.42,OK,0,Low Capacity,
2020,March-2020 ,3/17/2020,Karnataka,Karnataka,KUDGI STPPUnit 3,KUDGI STPP UNIT 3,800,800,4.84,11.59,16.00,0.00,60.36,OK,0,High Capacity,
2020,August-2020 ,8/8/2020,Assam,Assam,BONGAIGAON TPPUnit 1,BONGAIGAON TPP UNIT 1,250,250,3.55,3.56,77.00,0.00,59.33,OK,0,Low Capacity,
2019,September-2019 ,9/11/2019,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 3,RIHAND STPS UNIT 3,500,500,9.70,12.22,14.00,0.00,101.83,OK,0,Low Capacity,
2020,September-2020 ,9/1/2020,Odisha,Odisha,TALCHER STPSUnit 2,TALCHER STPS UNIT 2,500,500,9.80,9.74,13.00,0.00,81.17,OK,0,Low Capacity,
2022,August-2022 ,8/14/2022,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 5,KORBA STPS UNIT 5,500,500,10.58,10.55,20.00,0.00,87.92,OK,0,Low Capacity,
2024,May-2024 ,5/18/2024,Assam,Assam,BONGAIGAON TPPUnit 2,BONGAIGAON TPP UNIT 2,250,250,5.29,4.37,33.00,0.00,72.83,OK,0,Low Capacity,
2019,July-2019 ,7/10/2019,Telangana,Telangana,RAMAGUNDEM STPSUnit 4,RAMAGUNDEM STPS UNIT 4,500,500,9.81,8.60,25.00,0.00,71.67,OK,0,Low Capacity,
2017,December-2017 ,12/25/2017,Odisha,Odisha,TALCHER (OLD) TPSUnit 1,TALCHER (OLD) TPS UNIT 1,60,60,1.39,1.50,0.00,0.00,104.17,OK,0,Low Capacity,
2021,July-2021 ,7/19/2021,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 1,DADRI (NCTPP) UNIT 1,210,0,1.13,2.40,7.00,210.00,47.62,OK,0,Low Capacity,
2019,June-2019 ,6/22/2019,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 2,SIMHADRI UNIT 2,500,500,9.10,7.85,31.00,0.00,65.42,OK,0,Low Capacity,
2025,February-2025 ,2/14/2025,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 2,SIPAT STPS UNIT 2,660,660,15.75,15.62,18.00,0.00,98.61,OK,0,High Capacity,
2023,August-2026 ,8/10/2023,Odisha,Odisha,TALCHER STPSUnit 5,TALCHER STPS UNIT 5,500,500,11.61,7.00,12.00,0.00,58.33,OK,0,Low Capacity,
2025,Aug-2025,05-Aug-2025,Uttarakhand,,TAPOVAN VISHNUGAD HPS,TAPOVAN VISHNUGAD HPS,0,0,0,0,0,0,0,,,,
2021,February-2021 ,2/24/2021,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 4,RIHAND STPS UNIT 4,500,500,10.43,11.59,19.00,0.00,96.58,OK,0,Low Capacity,
2019,December-2019 ,12/23/2019,Bihar,Bihar,KAHALGAON TPSUnit 5,KAHALGAON TPS UNIT 5,500,500,9.19,10.39,4.00,0.00,86.58,OK,0,Low Capacity,
2019,March-2019 ,3/2/2019,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 3,UNCHAHAR TPS UNIT 3,210,210,3.84,3.28,0.00,0.00,65.08,OK,0,Low Capacity,
2022,July-2022 ,7/1/2022,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 3,SIMHADRI UNIT 3,500,500,6.68,8.59,19.00,0.00,71.58,OK,0,Low Capacity,
2019,June-2019 ,6/7/2019,West Bengal,West Bengal,FARAKKA STPSUnit 4,FARAKKA STPS UNIT 4,500,500,10.00,11.52,3.00,0.00,96.00,OK,0,Low Capacity,
2018,September-2018 ,9/15/2018,Uttar Pradesh,Uttar Pradesh,AURAIYA CCPP,AURAIYA CCPP,663,0,1.35,0.00,0.00,663.36,0.00,OK,0,Low Capacity,
2024,April-2024 ,4/18/2024,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 2,RIHAND STPS UNIT 2,500,500,11.73,10.48,25.00,0.00,87.33,OK,0,Low Capacity,
2025,May-2025 ,5/5/2025,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 2,UNCHAHAR TPS UNIT 2,210,210,4.29,3.21,24.00,0.00,63.69,OK,0,Low Capacity,
2024,September-2024 ,9/10/2024,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 7,KORBA STPS UNIT 7,500,500,11.73,10.62,8.00,0.00,88.50,OK,0,Low Capacity,
2023,October-2023 ,10/27/2023,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 6,UNCHAHAR TPS UNIT 6,500,500,8.13,8.55,4.00,0.00,71.25,OK,0,Low Capacity,
2018,March-2018 ,3/8/2018,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 4,RIHAND STPS UNIT 4,500,500,10.00,12.03,0.00,0.00,100.25,OK,0,Low Capacity,
2020,June-2020 ,6/26/2020,West Bengal,West Bengal,FARAKKA STPSUnit 4,FARAKKA STPS UNIT 4,500,500,10.40,6.70,45.00,0.00,55.83,OK,0,Low Capacity,
2021,February-2021 ,2/28/2021,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 7,SINGRAULI STPS UNIT 7,500,500,11.21,10.69,18.00,0.00,89.08,OK,0,Low Capacity,
2019,November-2019 ,11/4/2019,Maharashtra,Maharashtra,SOLAPURUnit 1,SOLAPUR UNIT 1,660,0,10.87,0.00,35.00,660.00,0.00,OK,0,Low Capacity,
2019,January-2019 ,1/1/2019,Assam,Assam,BONGAIGAON TPPUnit 2,BONGAIGAON TPP UNIT 2,250,0,2.71,0.00,0.00,250.00,0.00,OK,0,Low Capacity,
2021,Jun-2021,22-Jun-2021,Bihar,,BARH I_Unit 2,BARH I UNIT 2,0,0,0,0,0,0,0,,,,
2023,August-2026 ,8/18/2023,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 1,SINGRAULI STPS UNIT 1,200,200,4.65,4.85,11.00,0.00,101.04,OK,0,Low Capacity,
2019,October-2019 ,10/30/2019,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 5,RIHAND STPS UNIT 5,500,500,9.55,12.25,8.00,0.00,102.08,OK,0,Low Capacity,
2023,June-2026 ,6/26/2023,Odisha,Odisha,TALCHER STPSUnit 2,TALCHER STPS UNIT 2,500,500,11.63,8.97,7.00,0.00,74.75,OK,0,Low Capacity,
2021,November-2021 ,11/11/2021,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 3,VINDHYACHAL STPS UNIT 3,210,210,4.30,4.93,8.00,0.00,97.82,OK,0,Low Capacity,
2019,January-2019 ,1/22/2019,West Bengal,West Bengal,FARAKKA STPSUnit 5,FARAKKA STPS UNIT 5,500,500,8.16,10.66,0.00,0.00,88.83,OK,0,Low Capacity,
2018,August-2018 ,8/7/2018,Karnataka,Karnataka,KUDGI STPPUnit 3,KUDGI STPP UNIT 3,800,0,7.13,0.00,0.00,800.00,0.00,OK,0,Low Capacity,
2025,April-2025 ,4/1/2025,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 4,TANDA TPS UNIT 4,110,110,1.77,2.17,26.00,0.00,82.20,OK,0,Low Capacity,
2022,December-2022 ,12/22/2022,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 2,SIPAT STPS UNIT 2,660,660,15.19,14.15,16.00,0.00,89.33,OK,0,High Capacity,
2022,June-2022 ,6/23/2022,West Bengal,West Bengal,FARAKKA STPSUnit 2,FARAKKA STPS UNIT 2,200,200,3.67,4.16,16.00,0.00,86.67,OK,0,Low Capacity,
2023,September-2023 ,9/3/2023,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 6,SINGRAULI STPS UNIT 6,500,500,11.73,11.67,9.00,0.00,97.25,OK,0,Low Capacity,
2018,February-2018 ,2/19/2018,West Bengal,West Bengal,FARAKKA STPSUnit 1,FARAKKA STPS UNIT 1,200,200,3.93,4.30,0.00,0.00,89.58,OK,0,Low Capacity,
2023,December-2023 ,12/10/2023,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 6,TANDA TPS UNIT 6,660,660,14.23,12.24,7.00,0.00,77.27,OK,0,High Capacity,
2018,May-2018 ,5/10/2018,Bihar,Bihar,KAHALGAON TPSUnit 7,KAHALGAON TPS UNIT 7,500,500,9.35,11.86,0.00,0.00,98.83,OK,0,Low Capacity,
2023,November-2023 ,11/16/2023,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 2,VINDHYACHAL STPS UNIT 2,210,210,4.83,4.88,16.00,0.00,96.83,OK,0,Low Capacity,
2022,December-2022 ,12/3/2022,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 4,RIHAND STPS UNIT 4,500,500,9.42,11.62,28.00,0.00,96.83,OK,0,Low Capacity,
2023,November-2023 ,11/27/2023,Telangana,Telangana,RAMAGUNDEM STPSUnit 5,RAMAGUNDEM STPS UNIT 5,500,500,10.93,7.70,10.00,0.00,64.17,OK,0,Low Capacity,
2018,August-2018 ,8/24/2018,West Bengal,West Bengal,FARAKKA STPSUnit 6,FARAKKA STPS UNIT 6,500,500,0.00,10.43,0.00,0.00,86.92,OK,0,Low Capacity,
2019,March-2019 ,3/5/2019,Maharashtra,Maharashtra,MAUDA TPSUnit 4,MAUDA TPS UNIT 4,660,660,6.68,11.15,0.00,0.00,70.39,OK,0,High Capacity,
2021,June-2021 ,6/27/2021,Telangana,Telangana,RAMAGUNDEM STPSUnit 4,RAMAGUNDEM STPS UNIT 4,500,500,9.13,9.92,9.00,0.00,82.67,OK,0,Low Capacity,
2019,March-2019 ,3/25/2019,West Bengal,West Bengal,FARAKKA STPSUnit 4,FARAKKA STPS UNIT 4,500,500,8.39,11.24,7.00,0.00,93.67,OK,0,Low Capacity,
2024,January-2024 ,1/7/2024,Uttar Pradesh,Uttar Pradesh,AURAIYA CCPP,AURAIYA CCPP,663,0,1.38,0.00,0.00,663.36,0.00,OK,0,Low Capacity,
2024,May-2024 ,5/28/2024,Gujarat,Gujarat,KAWAS CCPP,KAWAS CCPP,656,232,2.18,1.98,0.00,424.00,12.57,OK,0,Low Capacity,
2019,June-2019 ,6/21/2019,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 5,VINDHYACHAL STPS UNIT 5,210,210,4.60,4.87,13.00,0.00,96.63,OK,0,Low Capacity,
2017,September-2017 ,9/7/2017,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 5,UNCHAHAR TPS UNIT 5,210,210,3.93,4.45,0.00,0.00,88.29,OK,0,Low Capacity,
2018,August-2018 ,8/10/2018,Uttar Pradesh,Uttar Pradesh,AURAIYA CCPP,AURAIYA CCPP,663,0,1.42,8.61,0.00,663.36,54.08,OK,0,Low Capacity,
2019,April-2019 ,4/8/2019,West Bengal,West Bengal,FARAKKA STPSUnit 5,FARAKKA STPS UNIT 5,500,500,10.24,7.93,0.00,0.00,66.08,OK,0,Low Capacity,
2018,November-2018 ,11/28/2018,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 6,DADRI (NCTPP) UNIT 6,490,490,6.93,9.49,0.00,0.00,80.70,OK,0,Low Capacity,
2022,October-2022 ,10/31/2022,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 7,VINDHYACHAL STPS UNIT 7,500,500,10.23,11.42,11.00,0.00,95.17,OK,0,Low Capacity,
2018,January-2018 ,1/4/2018,Karnataka,Karnataka,KUDGI STPPUnit 1,KUDGI STPP UNIT 1,800,800,3.58,13.20,0.00,0.00,68.75,OK,0,High Capacity,
2025,August-2025 ,8/6/2025,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 7,VINDHYACHAL STPS UNIT 7,500,500,11.48,10.29,11.00,0.00,85.75,OK,0,Low Capacity,
2020,Nov-2020,28-Nov-2020,Telangana,,TELANGANA STPP_Unit 1,TELANGANA STPP UNIT 1,0,0,5.6,0,0,0,0,,,,
2022,June-2022 ,6/4/2022,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 6,UNCHAHAR TPS UNIT 6,500,500,7.67,11.80,3.00,0.00,98.33,OK,0,Low Capacity,
2023,December-2023 ,12/1/2023,Karnataka,Karnataka,KUDGI STPPUnit 1,KUDGI STPP UNIT 1,800,800,12.68,11.31,7.00,0.00,58.91,OK,0,High Capacity,
2021,January-2021 ,1/22/2021,Telangana,Telangana,RAMAGUNDEM STPSUnit 1,RAMAGUNDEM STPS UNIT 1,200,200,4.03,4.21,19.00,0.00,87.71,OK,0,Low Capacity,
2018,September-2018 ,9/7/2018,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 5,DADRI (NCTPP) UNIT 5,490,490,6.57,3.80,0.00,0.00,32.31,OK,0,Low Capacity,
2025,October-2025 ,10/6/2025,Odisha,Odisha,TALCHER STPSUnit 2,TALCHER STPS UNIT 2,500,500,11.10,10.15,17.00,0.00,84.58,OK,0,Low Capacity,
2024,June-2024 ,6/10/2024,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 8,VINDHYACHAL STPS UNIT 8,500,500,11.80,11.61,18.00,0.00,96.75,OK,0,Low Capacity,
2022,June-2022 ,6/16/2022,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 5,UNCHAHAR TPS UNIT 5,210,210,3.07,4.01,5.00,0.00,79.56,OK,0,Low Capacity,
2022,March-2022 ,3/11/2022,Odisha,Odisha,TALCHER STPSUnit 3,TALCHER STPS UNIT 3,500,500,10.32,11.89,17.00,0.00,99.08,OK,0,Low Capacity,
2017,October-2017 ,10/4/2017,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 2,TANDA TPS UNIT 2,110,110,2.13,2.65,0.00,0.00,100.38,OK,0,Low Capacity,
2022,May-2022 ,5/1/2022,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 6,SINGRAULI STPS UNIT 6,500,500,10.19,11.81,21.00,0.00,98.42,OK,0,Low Capacity,
2019,April-2019 ,4/13/2019,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 6,DADRI (NCTPP) UNIT 6,490,490,9.70,7.24,38.00,0.00,61.56,OK,0,Low Capacity,
2019,December-2019 ,12/23/2019,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 10,VINDHYACHAL STPS UNIT 10,500,500,10.88,10.71,11.00,0.00,89.25,OK,0,Low Capacity,
2020,February-2020 ,2/5/2020,Maharashtra,Maharashtra,MAUDA TPSUnit 1,MAUDA TPS UNIT 1,500,500,8.00,8.95,39.00,0.00,74.58,OK,0,Low Capacity,
2023,February-2023 ,2/22/2023,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 6,SINGRAULI STPS UNIT 6,500,500,10.21,11.36,18.00,0.00,94.67,OK,0,Low Capacity,
2019,May-2019 ,5/2/2019,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 3,RIHAND STPS UNIT 3,500,500,9.71,11.92,21.00,0.00,99.33,OK,0,Low Capacity,
2021,December-2021 ,12/25/2021,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 2,SINGRAULI STPS UNIT 2,200,200,4.58,4.63,15.00,0.00,96.46,OK,0,Low Capacity,
2025,October-2025 ,10/14/2025,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 6,VINDHYACHAL STPS UNIT 6,210,0,0.00,0.10,10.00,210.00,1.98,OK,0,Low Capacity,
2019,December-2019 ,12/16/2019,Bihar,Bihar,BARAUNI TPSUnit 8,BARAUNI TPS UNIT 8,250,0,3.65,0.00,0.00,250.00,0.00,OK,0,Low Capacity,
2022,May-2022 ,5/28/2022,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 6,SINGRAULI STPS UNIT 6,500,500,10.19,11.58,22.00,0.00,96.50,OK,0,Low Capacity,
2023,May-2026 ,5/28/2023,Assam,Assam,BONGAIGAON TPPUnit 1,BONGAIGAON TPP UNIT 1,250,250,5.74,5.05,17.00,0.00,84.17,OK,0,Low Capacity,
2021,Dec-2021,17-Dec-2021,Odisha,,TALCHER (OLD) TPS_Unit 6,TALCHER (OLD) TPS UNIT 6,0,0,2.32,0,0,0,0,,,,
2023,February-2023 ,2/16/2023,Bihar,Bihar,KAHALGAON TPSUnit 3,KAHALGAON TPS UNIT 3,210,0,3.93,0.00,18.00,210.00,0.00,OK,0,Low Capacity,
2023,June-2026 ,6/19/2023,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 5,DADRI (NCTPP) UNIT 5,490,490,9.70,7.55,14.00,0.00,64.20,OK,0,Low Capacity,
2018,September-2018 ,9/22/2018,Bihar,Bihar,KAHALGAON TPSUnit 2,KAHALGAON TPS UNIT 2,210,210,3.73,5.15,0.00,0.00,102.18,OK,0,Low Capacity,
2023,July-2026 ,7/16/2023,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 2,VINDHYACHAL STPS UNIT 2,210,210,4.84,4.21,25.00,0.00,83.53,OK,0,Low Capacity,
2019,February-2019 ,2/19/2019,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 4,TANDA TPS UNIT 4,110,0,2.00,0.00,0.00,110.00,0.00,OK,0,Low Capacity,
2020,December-2020 ,12/20/2020,Karnataka,Karnataka,KUDGI STPPUnit 1,KUDGI STPP UNIT 1,800,800,8.45,13.70,37.00,0.00,71.35,OK,0,High Capacity,
2025,July-2025 ,7/14/2025,Bihar,Bihar,BARAUNI TPSUnit 9,BARAUNI TPS UNIT 9,250,250,5.10,5.58,36.00,0.00,93.00,OK,0,Low Capacity,
2025,December-2025 ,12/26/2025,Gujarat,Gujarat,GANDHAR CCPP,GANDHAR CCPP,657,0,2.66,0.78,0.00,657.39,4.94,OK,0,Low Capacity,
2017,December-2017 ,12/28/2017,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 1,SINGRAULI STPS UNIT 1,200,200,3.94,3.69,0.00,0.00,76.88,OK,0,Low Capacity,
2018,July-2018 ,7/18/2018,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 4,SIMHADRI UNIT 4,500,500,8.71,9.20,0.00,0.00,76.67,OK,0,Low Capacity,
2020,February-2020 ,2/1/2020,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 1,KORBA STPS UNIT 1,200,200,4.17,4.86,10.00,0.00,101.25,OK,0,Low Capacity,
2019,Jan-2019,17-Jan-2019,Uttar Pradesh,,TANDA TPS_Unit 6,TANDA TPS UNIT 6,0,0,0,0,0,0,0,,,,
2019,August-2019 ,8/26/2019,Odisha,Odisha,TALCHER STPSUnit 5,TALCHER STPS UNIT 5,500,500,9.84,7.86,0.00,0.00,65.50,OK,0,Low Capacity,
2023,April-2023 ,4/2/2023,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 5,RIHAND STPS UNIT 5,500,500,11.63,10.85,24.00,0.00,90.42,OK,0,Low Capacity,
2023,July-2026 ,7/8/2023,Gujarat,Gujarat,GANDHAR CCPP,GANDHAR CCPP,657,0,1.38,0.00,0.00,657.39,0.00,OK,0,Low Capacity,
2018,July-2018 ,7/28/2018,Odisha,Odisha,TALCHER (OLD) TPSUnit 5,TALCHER (OLD) TPS UNIT 5,110,110,2.10,2.67,0.00,0.00,101.14,OK,0,Low Capacity,
2020,July-2020 ,7/3/2020,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 3,SINGRAULI STPS UNIT 3,200,200,4.23,4.86,14.00,0.00,101.25,OK,0,Low Capacity,
2023,February-2023 ,2/9/2023,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 2,UNCHAHAR TPS UNIT 2,210,210,3.07,4.55,11.00,0.00,90.28,OK,0,Low Capacity,
2019,January-2019 ,1/9/2019,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 2,VINDHYACHAL STPS UNIT 2,210,210,3.65,4.83,0.00,0.00,95.83,OK,0,Low Capacity,
2021,February-2021 ,2/25/2021,Bihar,Bihar,KAHALGAON TPSUnit 2,KAHALGAON TPS UNIT 2,210,210,4.32,4.94,16.00,0.00,98.02,OK,0,Low Capacity,
2018,April-2018 ,4/11/2018,West Bengal,West Bengal,FARAKKA STPSUnit 1,FARAKKA STPS UNIT 1,200,200,3.40,2.82,0.00,0.00,58.75,OK,0,Low Capacity,
2019,April-2019 ,4/4/2019,Bihar,Bihar,BARAUNI TPSUnit 8,BARAUNI TPS UNIT 8,250,0,0.00,0.00,0.00,250.00,0.00,OK,0,Low Capacity,
2019,March-2019 ,3/23/2019,West Bengal,West Bengal,FARAKKA STPSUnit 4,FARAKKA STPS UNIT 4,500,500,8.39,10.33,0.00,0.00,86.08,OK,0,Low Capacity,
2025,October-2025 ,10/31/2025,Odisha,Odisha,TALCHER STPSUnit 6,TALCHER STPS UNIT 6,500,500,11.23,10.42,15.00,0.00,86.83,OK,0,Low Capacity,
2023,April-2023 ,4/27/2023,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 1,VINDHYACHAL STPS UNIT 1,210,210,4.93,4.80,22.00,0.00,95.24,OK,0,Low Capacity,
2025,April-2025 ,4/28/2025,Karnataka,Karnataka,KUDGI STPPUnit 2,KUDGI STPP UNIT 2,800,800,13.67,12.81,12.00,0.00,66.72,OK,0,High Capacity,
2023,February-2023 ,2/3/2023,Madhya Pradesh,Madhya Pradesh,KHARGONE STPPUnit 2,KHARGONE STPP UNIT 2,660,660,9.79,10.66,16.00,0.00,67.30,OK,0,High Capacity,
2021,July-2021 ,7/28/2021,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 6,VINDHYACHAL STPS UNIT 6,210,210,4.77,4.15,9.00,0.00,82.34,OK,0,Low Capacity,
2023,August-2023 ,8/26/2023,West Bengal,West Bengal,FARAKKA STPSUnit 1,FARAKKA STPS UNIT 1,200,200,3.52,4.74,14.00,0.00,98.75,OK,0,Low Capacity,
2023,January-2023 ,1/24/2023,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 12,VINDHYACHAL STPS UNIT 12,500,500,0.00,11.63,21.00,0.00,96.92,OK,0,Low Capacity,
2018,December-2018 ,12/8/2018,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 6,UNCHAHAR TPS UNIT 6,500,0,9.00,0.00,0.00,500.00,0.00,OK,0,Low Capacity,
2019,March-2019 ,3/18/2019,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 4,DADRI (NCTPP) UNIT 4,210,0,2.00,0.00,0.00,210.00,0.00,OK,0,Low Capacity,
