PIVOT TABLE 1 — National Performance Overview,,,,,,,
"Summarizing annual generation, capacity utilization, and outage trends.",,,,,,,
Year,Total Generation (MU),Avg Capacity Factor (%),Avg Available Capacity (MW),,,,
2017,1564.74,6807.84%,28883.09%,,,,
2018,5543.58,7196.21%,31000.00%,,,,
2019,4968.05,6079.76%,27403.44%,,,,
2020,4313.07,5878.70%,27818.02%,,,,
2021,5836.51,6008.15%,31873.71%,,,,
2022,6924.76,6917.11%,34858.47%,,,,
2023,6523.28,6781.99%,33438.95%,,,,
2024,7144.83,6996.40%,36197.01%,,,,
2025,6299.94,6635.42%,35924.38%,,,,
2026,501.84,7471.06%,38281.55%,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PIVOT TABLE 2 — Station Efficiency Ranking,,,,,,,
,,,,,,,
Station,Total Monitored Capacity,Total Generation,Total Available,Total Outage,Capacity Factor %,Availability %,Outage %
KHARGONE STPP UNIT 2,"3,300.00","21,780",0.1515151515,0,33,,
DADRI (NCTPP) UNIT 1,"3,150.00","10,710",0.2941176471,0,51,,
BARAUNI TPS UNIT 6,"3,150.00","3,570",0.8823529412,0,34,,
TANDA TPS UNIT 2,"3,080.00","6,710",0.4590163934,0,61,,
VINDHYACHAL STPS UNIT 8,"3,000.00","24,500",0.1224489796,0,49,,
VINDHYACHAL STPS UNIT 10,"3,000.00","26,000",0.1153846154,0,52,,
TALCHER STPS UNIT 2,"3,000.00","25,500",0.1176470588,0,51,,
SIPAT STPS UNIT 4,"3,000.00","30,000",0.1,0,60,,
SINGRAULI STPS UNIT 7,"3,000.00","31,000",0.09677419355,0,62,,
SIMHADRI UNIT 2,"3,000.00","27,000",0.1111111111,0,54,,
KAHALGAON TPS UNIT 5,"3,000.00","32,500",0.09230769231,0,65,,
DADRI (NCTPP) UNIT 2,"2,730.00","9,240",0.2954545455,0,44,,
TANDA TPS UNIT 5,"2,640.00","23,760",0.1111111111,0,36,,
BARH STPS UNIT 5,"2,640.00","13,860",0.1904761905,0,21,,
FARAKKA STPS UNIT 2,"2,600.00","13,800",0.1884057971,0,69,,
TANDA TPS UNIT 4,"2,530.00","6,160",0.4107142857,0,56,,
VINDHYACHAL STPS UNIT 9,"2,500.00","31,500",0.07936507937,0,63,,
VINDHYACHAL STPS UNIT 12,"2,500.00","28,500",0.08771929825,0,57,,
TALCHER STPS UNIT 5,"2,500.00","29,000",0.08620689655,0,58,,
TALCHER STPS UNIT 3,"2,500.00","27,000",0.09259259259,0,54,,
SIMHADRI UNIT 3,"2,500.00","24,000",0.1041666667,0,48,,
RAMAGUNDEM STPS UNIT 4,"2,500.00","26,500",0.09433962264,0,53,,
FARAKKA STPS UNIT 4,"2,500.00","27,500",0.09090909091,0,55,,
UNCHAHAR TPS UNIT 1,"2,310.00","9,870",0.2340425532,0,47,,
FARAKKA STPS UNIT 3,"2,200.00","13,600",0.1617647059,0,68,,
TANDA TPS UNIT 1,"2,090.00","6,820",0.3064516129,0,62,,
VINDHYACHAL STPS UNIT 13,"2,000.00","33,500",0.05970149254,0,67,,
SIMHADRI UNIT 1,"2,000.00","28,000",0.07142857143,0,56,,
RIHAND STPS UNIT 3,"2,000.00","24,000",0.08333333333,0,48,,
RIHAND STPS UNIT 2,"2,000.00","30,500",0.06557377049,0,61,,
KORBA STPS UNIT 5,"2,000.00","30,500",0.06557377049,0,61,,
TANDA TPS UNIT 3,"1,980.00","6,270",0.3157894737,0,57,,
SIPAT STPS UNIT 1,"1,980.00","28,380",0.06976744186,0,43,,
BARH II UNIT 5,"1,980.00","14,520",0.1363636364,0,22,,
FARAKKA STPS UNIT 1,"1,800.00","11,800",0.1525423729,0,59,,
VINDHYACHAL STPS UNIT 3,"1,680.00","10,500",0.16,0,50,,
UNCHAHAR TPS UNIT 2,"1,680.00","10,080",0.1666666667,0,48,,
TALCHER (OLD) TPS UNIT 5,"1,540.00","3,850",0.4,0,35,,
TALCHER STPS UNIT 6,"1,500.00","31,500",0.04761904762,0,63,,
SIPAT STPS UNIT 5,"1,500.00","37,000",0.04054054054,1,74,,
RIHAND STPS UNIT 6,"1,500.00","36,000",0.04166666667,0,72,,
RIHAND STPS UNIT 1,"1,500.00","27,000",0.05555555556,0,54,,
RAMAGUNDEM STPS UNIT 7,"1,500.00","31,500",0.04761904762,0,63,,
KORBA STPS UNIT 7,"1,500.00","32,500",0.04615384615,0,65,,
KORBA STPS UNIT 6,"1,500.00","32,000",0.046875,0,64,,
KORBA STPS UNIT 4,"1,500.00","27,000",0.05555555556,0,54,,
KAHALGAON TPS UNIT 4,"1,470.00","11,340",0.1296296296,0,54,,
SINGRAULI STPS UNIT 3,"1,400.00","13,800",0.1014492754,0,69,,
NORTH KARANPURA TPP UNIT 1,"1,320.00","15,180",0.08695652174,0,23,,
BARH I UNIT 1,"1,320.00","3,300",0.4,0,5,,
VINDHYACHAL STPS UNIT 6,"1,260.00","11,130",0.1132075472,0,53,,
VINDHYACHAL STPS UNIT 2,"1,260.00","14,910",0.08450704225,0,71,,
UNCHAHAR TPS UNIT 4,"1,260.00","14,490",0.08695652174,0,69,,
KAHALGAON TPS UNIT 3,"1,260.00","11,970",0.1052631579,0,57,,
